Mercury, 0.33, 0.0024395, 1407.6, 5.79, 7, .205, 0.034, Sun
Venus, 4.87, 0.006052, -5832.5, 10.82, 3.4, .007, 177.4, Sun
Earth, 5.97, 0.006378, 23.9, 14.96, 0, 0.017, 23.4, Sun
Mars, 0.642, 0.003396, 24.6, 22.79, 1.9, 0.094, 25.2, Sun
Jupiter, 1898, 0.071492, 9.9, 77.86, 1.3, 0.049, 3.1, Sun
Saturn, 568, 0.060492, 10.7, 143.35, 2.5, 0.057, 26.7, Sun
Uranus, 86.8, 0.025559, -17.2, 287.25, 0.8, 0.046, 97.8, Sun
Neptune, 102, 0.024764, 16.1, 449.51, 1.8, 0.011, 28.3, Sun
Pluto, 0.0146, 0.001185, -153.3, 590.64, 17.2, .244, 122.5, Sun
Tesla Roadster, 0.00000000000000000000125, .0000002, 600, 19.9, 0, 0.255, 0, Sun
Moon, 0.073, 0.0017375, -655.7, .0384, 0, 0.055, 6.7, Earth
